ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
1459272	A	A13	None	24	175	A13-A1pu-A1pv	8181-3591788-2551016	0.950[0.022]-0.026[0.012]-0.024[0.012]
1459170	A	A4	None	20	64	A4/A4.3-A4a-A4e-A4o-A4s-A4bg	29206-40166-62749-43731-38165-45238-1265442	0.560[0.036]-0.147[0.054]-0.087[0.035]-0.068[0.031]-0.056[0.025]-0.045[0.025]-0.038[0.017]
1459171	A	A3	None	16	92	A3-A3bi-A3au-A3av-A3cy-A3aw-A3cz	22385-22403-35893-50832-50831-34696-50833	0.728[0.031]-0.092[0.014]-0.046[0.008]-0.044[0.008]-0.037[0.008]-0.030[0.009]-0.022[0.006]
1458963	A	A4	None	12	98	A4-A1il	29206-1157196	0.984[0.011]-0.016[0.011]
1459488	A	A13	None	11	74	A13	8181	1.000[0.000]
1459346	A	A4	None	9	10	A4-A4a-A4.3-A4eq-A4s-A4e-A4o-A4ep	29206-40166-62749-49838-45238-43731-38165-49835	0.405[0.085]-0.142[0.013]-0.106[0.026]-0.086[0.047]-0.077[0.024]-0.065[0.010]-0.062[0.019]-0.057[0.043]
1459060	A	A3	None	9	16	A3-A3at-A3bi	22385-22403-43946	0.840[0.087]-0.086[0.064]-0.074[0.031]
1466047	A	A3	None	8	58	A3-A3at-A3bi-A3bu	22385-22403-43946-43947	0.873[0.033]-0.061[0.016]-0.055[0.020]-0.011[0.004]
1459044	A	A3	None	6	95	A3/A3ac-A3ae	22385-364589-903836	0.847[0.039]-0.107[0.037]-0.046[0.005]
1458915	A	A4	None	4	27	A4-A4.3-A4e-A4o-A4bg	29206-62749-43731-38165-1265442	0.556[0.074]-0.194[0.081]-0.102[0.039]-0.085[0.014]-0.063[0.009]
1459475	A	A4	None	4	89	A4	29206	1.000[0.000]
1458967	A	A4	None	4	39	A4-A4.3-A4e-A4a-A4o-A4bg	29206-40166-43731-62749-38165-1265442	0.614[0.027]-0.112[0.040]-0.083[0.026]-0.080[0.020]-0.066[0.022]-0.046[0.016]
1459331	A	A13	None	3	20	A13/A4	8181-29206	0.956[0.038]-0.044[0.038]
1458911	A	A4	None	3	11	A4-A4a-A4.3-A4s-A4e	29206-40166-62749-43731-45238	0.530[0.039]-0.191[0.110]-0.141[0.118]-0.082[0.048]-0.056[0.006]
1458786	A	A4a	None	2	7	A4a/A4-A4by	40166-29206-71557	0.480[0.007]-0.424[0.020]-0.096[0.013]
1458910	A	A4	None	2	8	A4-A4.3-A4a-A4e	29206-43731-40166-62749	0.697[0.012]-0.145[0.033]-0.096[0.027]-0.061[0.006]
1458919	A	A3	None	2	4	A3-A3bw	22385-1402205	0.947[0.021]-0.053[0.021]
1458968	A	A4	None	2	4	A4-A4.3-A4o-A4bg	29206-62749-38165-1265442	0.716[0.212]-0.225[0.192]-0.030[0.011]-0.028[0.009]
1459042	A	A3	None	2	13	A3/A4	22385-29206	0.777[0.291]-0.223[0.291]
1458689	A	A4	None	1	61	A4/A4m	29206-29207	0.891[nan]-0.109[nan]
1459214	A	A4	None	1	20	A4-A4a-A4ah	29206-40166-38163	0.528[nan]-0.464[nan]-0.008[nan]
1459265	A	A13	None	1	15	A13-A1pt	8181-54466	0.939[nan]-0.061[nan]
1459269	A	A13	None	1	8	A13-A1pu	8181-3591788	0.995[nan]-0.005[nan]
1459270	A	A13	None	1	11	A13-A1py	8181-1913826	0.963[nan]-0.037[nan]
1459271	A	A13	None	1	10	A13-A13o	8181-30487	0.935[nan]-0.065[nan]
1459287	A	A13	None	1	19	A13/A3	8181-22385	0.683[nan]-0.317[nan]
1458795	A	A3	None	1	48	A3-A3s-A3q-A3r	22385-63388-22438-22472	0.866[nan]-0.067[nan]-0.046[nan]-0.021[nan]
1459347	A	A4z	None	1	13	A4z-A4cx	29923-43576	0.738[nan]-0.262[nan]
1458966	A	A4	None	1	13	A4/A4a	29206-40166	0.646[nan]-0.354[nan]
1459054	A	A4	None	1	57	A4-A4ct-A4cs-A4q	29206-45266-136513-29284	0.600[nan]-0.241[nan]-0.131[nan]-0.028[nan]
1459479	A	A4d	None	1	2	A4d	29900	1.000[nan]
1459135	A	A3	None	1	6	A3-A3bi-A3av-A3au-A3aw	22385-22403-35893-50831-50832	0.789[nan]-0.067[nan]-0.053[nan]-0.052[nan]-0.039[nan]
1458661	A	A3	None	1	11	A3-A3bi-A3av-A3au-A3cy	22385-22403-35893-34696-50832	0.830[nan]-0.090[nan]-0.029[nan]-0.026[nan]-0.024[nan]
1459175	A	A4	None	1	9	A4-A4j	29206-38154	0.904[nan]-0.096[nan]
1458662	A	A3	None	1	2	A3-A3at	22385-43946	0.500[nan]-0.500[nan]
1459173	A	A13	None	1	2	A13-A13q	8181-57368	0.938[nan]-0.062[nan]
1459174	A	A4	None	1	5	A4-A4.3	29206-62749	0.994[nan]-0.006[nan]
1460174	B	B1/B14d	None	36	61	B1/B14d-B1x-B14c-B1az-B1t-B1ae-B1ag	4946/693411-59288-53205-89135-693415-29395-89237	0.530[0.119]/0.122[0.108]-0.086[0.059]-0.081[0.020]-0.056[0.022]-0.053[0.014]-0.039[0.009]-0.032[0.008]
1459993	B	B1/B14d	None	25	76	B1/B14d-B14b-B14c-B1co-B1x-B1ai-B1az	4946/693411-59288-29495-30454-89233-53205-89135	0.449[0.130]/0.192[0.121]-0.121[0.076]-0.062[0.018]-0.046[0.017]-0.046[0.019]-0.045[0.016]-0.039[0.012]
1460208	B	B1	None	24	24	B1-B1ig-B1ih	4946-2787368-2535977	0.895[0.013]-0.056[0.010]-0.049[0.009]
1460207	B	B1/B14d/B14c	None	22	23	B1/B14d/B14c-B14i-B14b-B1x	4946/693411/59288-1390071-29495-53205	0.308[0.092]/0.307[0.061]/0.188[0.068]-0.114[0.028]-0.043[0.017]-0.041[0.014]
1466142	B	B1	None	14	119	B1-B1x-B14d-B5dc-B1ao-B1cn-B1dn-B1l-B1fa	4946-53205-1389982-693411-89854-1389979-1389983-29800-308310	0.574[0.034]-0.085[0.023]-0.078[0.024]-0.075[0.030]-0.050[0.014]-0.039[0.012]-0.035[0.015]-0.034[0.009]-0.029[0.009]
1460124	B	B1	None	13	27	B1-B1by-B1bw-B1dm-B14h	4946-29424-1390055-29621-1390058	0.786[0.066]-0.086[0.029]-0.051[0.047]-0.042[0.024]-0.036[0.023]
1460199	B	B1/B14d	None	13	37	B1/B14d-B1x-B5dc-B14c-B1co-B1ao-B14b	4946/693411-1389982-59288-53205-30454-89854-29495	0.486[0.130]/0.141[0.111]-0.100[0.055]-0.076[0.044]-0.069[0.028]-0.046[0.026]-0.045[0.020]-0.037[0.021]
1460210	B	B1	None	12	12	B1-B1ig-B1ih-B1bu	4946-2787368-2535977-30123	0.855[0.022]-0.054[0.012]-0.048[0.008]-0.043[0.019]
1466145	B	B1	None	10	91	B1-B1x-B14d-B1t-B1ae-B1af-B1az-B1ag-B1fy	4946-693411-693415-53205-29395-698180-89237-89135-900865	0.552[0.041]-0.077[0.017]-0.073[0.015]-0.067[0.020]-0.062[0.012]-0.056[0.011]-0.043[0.020]-0.038[0.012]-0.031[0.020]
1459767	B	B1	None	9	53	B1-B1as-B1cg-B1e	4946-25424-25829-29499	0.903[0.018]-0.035[0.010]-0.032[0.008]-0.030[0.006]
1460189	B	B1	None	9	23	B1-B1by-B1hs	4946-29424-37772	0.829[0.043]-0.109[0.040]-0.062[0.028]
1460190	B	B1	None	9	19	B1-B1bw-B1by-B1au-B1dm-B1hs	4946-1390055-29806-29424-29621-37772	0.770[0.052]-0.067[0.019]-0.047[0.023]-0.042[0.023]-0.039[0.010]-0.035[0.021]
1460196	B	B5aj/B1do	None	9	20	B5aj/B1do-B1-B1er	1390195/29481-4946-1390800	0.577[0.143]/0.350[0.149]-0.050[0.015]-0.023[0.014]
1459699	B	B5	None	9	73	B5-B5b-B5a-B5c-B5d-B5f-B5g-B5e-B5l	29665-37526-37517-37527-37563-37524-37518-37826-37521	0.567[0.084]-0.091[0.055]-0.069[0.029]-0.059[0.035]-0.058[0.013]-0.051[0.014]-0.050[0.024]-0.033[0.013]-0.022[0.009]
1460311	B	B1	None	8	179	B1	4946	1.000[0.000]
1459881	B	B1	None	8	19	B1-B1bw-B1by-B14h-B1dm-B1au	4946-1390055-29424-1390058-29621-29806	0.702[0.070]-0.081[0.026]-0.070[0.026]-0.061[0.043]-0.046[0.027]-0.040[0.016]
1466134	B	B1/B14c	None	8	498	B1/B14e/B14c-B1ai-B1x-B1j-B1ao-B14b-B1am-B1an	4946/59288-695008-89233-53205-29802-89854-29332-29495-29245	0.341[0.075]/0.267[0.073]-0.169[0.049]-0.051[0.023]-0.051[0.012]-0.034[0.012]-0.027[0.008]-0.025[0.010]-0.019[0.011]-0.015[0.006]
1459736	B	B1	None	7	17	B1-B1x-B1t-B1az-B14b-B1ae-B1af-B1ag	4946-53205-693415-89135-29495-29395-698180-89237	0.616[0.027]-0.082[0.013]-0.072[0.021]-0.068[0.016]-0.050[0.010]-0.048[0.013]-0.034[0.010]-0.030[0.008]
1459990	B	B1	None	7	36	B1-B14d-B1x-B5dc-B1ao-B14b-B1dn-B1co	4946-693411-1389982-53205-30454-89854-1389979-29495	0.563[0.026]-0.094[0.041]-0.075[0.013]-0.069[0.023]-0.059[0.009]-0.056[0.010]-0.045[0.009]-0.040[0.014]
1460083	B	B1	None	7	101	B1-B1by-B1g-B1bw-B1dm-B1au-B1bz-B1s-B14h	4946-1390055-29621-1390058-29424-29806-29275-51798-53344	0.621[0.024]-0.095[0.023]-0.058[0.027]-0.054[0.021]-0.046[0.020]-0.038[0.023]-0.036[0.021]-0.027[0.015]-0.025[0.012]
1460177	B	B1ht	None	7	14	B1ht-B1hv-B5eh-B1-B1hu-B1do	5737019-5737020-367051-4946-5737091-29481	0.351[0.044]-0.259[0.018]-0.173[0.026]-0.094[0.047]-0.063[0.006]-0.061[0.020]
1460192	B	B1hx	None	7	14	B1hx-B1-B1o-B1cg-B1hy-B1ie-B5ek	89570-4946-29213-25424-5737028-5737027-5737029	0.489[0.081]-0.224[0.052]-0.092[0.024]-0.086[0.021]-0.052[0.008]-0.033[0.021]-0.024[0.016]
1460193	B	B1	None	7	15	B1-B1ed-B1bw-B1au-B14h-B14b	4946-89166-1390055-29806-1390058-29495	0.636[0.083]-0.137[0.033]-0.107[0.032]-0.043[0.008]-0.042[0.012]-0.036[0.008]
1460315	B	B5	None	6	35	B5	29665	1.000[0.000]
1459912	B	B1	None	6	101	B1-B1by-B1bw-B1au-B14h-B1dm-B20b	4946-1390055-29424-29621-1390058-29806-1390061	0.681[0.068]-0.085[0.018]-0.064[0.016]-0.055[0.023]-0.052[0.009]-0.051[0.027]-0.013[0.008]
1460018	B	B7	None	6	17	B7-B7d	62765-68229	0.960[0.014]-0.040[0.014]
1460170	B	B1	None	6	16	B1-B14c-B14b-B14d-B1x-B1co-B1ay-B5dy	4946-59288-29495-693411-30454-53205-89127-59085	0.559[0.032]-0.098[0.018]-0.083[0.009]-0.076[0.008]-0.059[0.013]-0.055[0.011]-0.035[0.007]-0.035[0.007]
1460209	B	B5	None	6	6	B5-B1ic-B1fx-B5em-B5en	29665-2151308-1402209-5867213-5867214	0.727[0.037]-0.145[0.024]-0.052[0.009]-0.041[0.009]-0.035[0.005]
1459811	B	B5/B5p/B5a/B5ae	None	5	111	B5/B5p/B5a/B5ae-B5m-B5bu	29665/51922/37517/64698-37520-51923	0.262[0.087]/0.256[0.079]/0.204[0.053]-0.128[0.040]/0.127[0.154]-0.022[0.005]
1460380	B	B7	None	5	25	B7	62765	1.000[0.000]
1460212	B	B5	None	5	11	B5-B5ae-B5c-B5a-B5b	29665-64698-37517-37527-37526	0.627[0.059]-0.164[0.075]-0.084[0.022]-0.073[0.038]-0.052[0.012]
1460267	B	B5	None	4	8	B5-B5a-B5b	29665-37517-37526	0.672[0.051]-0.199[0.033]-0.129[0.050]
1459789	B	B5/B5p	None	4	66	B5/B5a/B5p/B5ae-B5m	29665/51922-37517-37520-64698	0.399[0.063]/0.321[0.133]-0.180[0.050]-0.057[0.037]-0.044[0.032]
1459843	B	B1	None	4	33	B1/B2	4946-21914	0.750[0.211]-0.250[0.211]
1459866	B	B1	None	4	132	B1-B1by-B1bw-B1dm-B14h-B1au-B1x	4946-1390055-29424-1390058-29621-29806-53205	0.661[0.095]-0.080[0.033]-0.074[0.019]-0.065[0.040]-0.055[0.044]-0.040[0.020]-0.024[0.005]
1459910	B	B1	None	4	24	B1-B1dm-B14h-B1bw-B1by-B1x	4946-29621-1390055-1390058-29424-53205	0.572[0.026]-0.133[0.010]-0.102[0.009]-0.101[0.013]-0.061[0.011]-0.031[0.006]
1459935	B	B1	None	4	38	B1-B1ed-B1ci-B1cj	4946-89166-1389974-1389977	0.865[0.032]-0.050[0.023]-0.047[0.020]-0.038[0.007]
1460012	B	B5	None	4	31	B5-B5dr-B1fx-B5ds-B5cp	29665-1402208-45548-2151311-1402209	0.768[0.031]-0.110[0.011]-0.051[0.012]-0.035[0.015]-0.035[0.004]
1460063	B	B5/B5ai	None	4	10	B5/B5ai-B1hc-B5ei	29665/892114-50427-892115	0.466[0.116]/0.375[0.064]-0.123[0.090]-0.036[0.019]
1460113	B	B1	None	4	18	B1-B1gy	4946-89232	0.712[0.034]-0.288[0.034]
1460175	B	B1	None	4	8	B1-B1x-B14d-B1az-B1t-B1ag-B14c	4946-53205-693411-89135-693415-89237-59288	0.604[0.076]-0.102[0.021]-0.069[0.030]-0.065[0.029]-0.064[0.025]-0.049[0.026]-0.047[0.015]
1460176	B	B1	None	4	8	B1-B1by-B1hs-B10b	4946-29424-37772-30130	0.826[0.032]-0.094[0.009]-0.052[0.020]-0.028[0.015]
1460181	B	B2	None	4	8	B2-B2f-B19bn-B2m-B2p-B2at-B2au-B2s	21914-22017-5737009-22371-46221-779625-61432-1390331	0.608[0.034]-0.098[0.016]-0.088[0.044]-0.051[0.007]-0.041[0.007]-0.040[0.003]-0.037[0.007]-0.037[0.008]
1460191	B	B1	None	4	8	B1-B1by-B1hs-B10b-B1au	4946-29424-37772-30130-29806	0.802[0.029]-0.066[0.015]-0.056[0.023]-0.048[0.030]-0.028[0.010]
1460197	B	B1	None	4	17	B1-B1x-B14d-B5dc-B14b-B1ao-B1co-B1cn	4946-53205-693411-1389982-29495-30454-89854-1389983	0.535[0.047]-0.095[0.048]-0.086[0.046]-0.075[0.031]-0.065[0.024]-0.052[0.017]-0.051[0.011]-0.042[0.003]
1459712	B	B5	None	3	36	B5-B5a-B5b-B5e-B5f-B5d-B5c	29665-37517-37527-37563-37524-37518-37526	0.640[0.030]-0.072[0.029]-0.064[0.007]-0.058[0.019]-0.058[0.023]-0.055[0.015]-0.053[0.037]
1459733	B	B1	None	3	51	B1-B1x-B1t-B14b-B1af-B1ag-B1ae-B1bh-B1be	4946-693415-53205-89237-90035-29495-29476-698180-29395	0.591[0.070]-0.097[0.040]-0.083[0.004]-0.075[0.034]-0.047[0.020]-0.028[0.005]-0.028[0.011]-0.027[0.019]-0.024[0.010]
